UserId,MovieId,Pred_rating
1,1172,2.58326877603
1,1405,2.50223910481
1,2193,2.77945097706
1,2968,2.65606498064
2,52,3.49938592942
2,144,3.71176246084
2,248,3.76561650893
2,314,3.82581589414
2,319,3.88186780117
2,370,3.36797666738
2,371,3.46598712678
2,372,3.61326298214
2,382,3.52427681191
2,405,3.5332664412
2,485,3.43844040575
2,537,3.53670080346
2,550,4.01647138932
2,616,3.59798086613
2,661,3.52740695119
2,720,3.61886985134
3,377,3.4493357138
3,592,3.45370235433
3,595,3.50888164499
3,736,3.32603374872
3,1197,3.4390175532
3,1721,3.49081530906
3,2716,3.35136231139
3,5349,3.43220567368
3,8636,3.73172083876
3,44191,3.69514651345
3,84236,3.48782216614
4,185,4.10939218687
4,356,4.48322251356
4,357,4.26739290559
4,364,4.03074180126
4,410,4.17385545492
4,435,4.407284644
4,440,4.42739316347
4,442,4.1331269344
4,588,4.46284303019
4,589,4.23614865717
4,594,4.30308198774
4,596,4.42879190183
4,610,4.28954139755
4,616,4.39821428274
4,919,4.47949385086
4,1022,4.35231630525
4,1028,4.25390557284
4,1032,4.44087529201
4,1033,4.38137221563
4,1282,4.34381468485
4,1334,4.32426706898
4,1372,4.31656465088
4,1580,4.11253206947
4,1858,4.8445518381
4,1967,4.3090956242
4,2033,4.52822123961
4,2078,4.46020534789
4,2081,4.11781622685
4,2085,4.16857065011
4,2087,4.44059991783
4,2094,4.37530804401
4,2096,4.26714722143
4,2102,4.41310575145
4,2124,4.1611962137
4,2141,4.06502357256
4,2454,4.42142917282
4,3034,4.58388265724
4,3108,4.47685554227
4,3255,4.46208310592
4,3263,4.41314297947
4,4006,4.43881730833
5,3,4.00680092563
5,39,4.02086278708
5,104,4.0596151023
5,788,4.09763757433
5,1247,3.94829414151
5,1485,3.98232267073
5,1544,3.92614119997
5,1777,3.94226519557
5,1997,3.95520020007
5,2770,3.94346422645
5,4018,4.02914945095
5,4025,4.11683932093
5,4447,3.90813334644
5,4718,3.94434910591
5,5266,3.96423401993
5,5995,3.74777339775
5,6373,3.99220699471
5,8376,3.91818029202
5,30749,4.10951749837
5,33679,3.82009494548
6,173,3.29514000964
6,1687,2.86180482075
6,2019,3.74125330541
6,2072,3.14073448604
6,2528,3.40701517629
6,2723,3.49310921395
6,3300,3.56548253676
6,4641,3.48782147453
6,4975,3.33386523116
7,260,3.73916402562
7,316,3.35362294021
7,377,3.27358160078
7,380,3.3824335999
7,480,3.19088184967
7,589,3.61706600153
7,1036,3.24127694292
7,1129,3.38805535439
7,1198,3.54449390915
7,1240,3.20674217042
7,1275,3.80230290578
7,1371,3.60917268208
7,1372,3.14141506274
7,1373,3.4411074613
7,1374,3.42890804277
7,1375,3.40652359557
7,1376,3.06243972886
7,1408,3.55426311628
8,32,3.9696843239
8,110,3.86766051831
8,1219,3.7483077339
8,1225,3.93607015372
8,1258,3.76391244325
8,1358,3.70386448151
8,1704,3.943884658
8,1961,3.91137632229
8,2028,3.77820392473
8,2329,3.90560123633
8,2791,3.75221943877
8,2804,3.766914577
8,2918,4.11872352007
8,3996,3.87604046271
8,5650,3.76443417008
8,8873,3.96983203368
8,8874,3.78410305128
8,33166,3.81369675368
8,40583,3.84006297887
8,40819,3.84483812128
8,42007,3.86522088776
8,43556,3.86522088776
8,43871,4.19565217391
8,44004,3.77977645353
9,1177,3.67267155513
9,1721,4.02452409278
9,2125,3.93877745957
9,2140,3.77882159212
9,2391,4.08761013904
9,2427,3.77259167983
9,2490,3.81595921451
9,2539,3.84332947977
9,2857,3.54978129008
10,592,3.52453120263
10,1101,4.0231004581
10,1127,3.75286724099
10,1210,3.69855761013
10,1220,3.75356594308
10,1240,3.78596332818
10,1291,3.81588252287
10,2406,3.54379681055
10,2410,3.87794385935
10,3019,3.94047545717
11,50,4.24446611002
11,778,4.00434944908
11,923,3.84416146916
11,1027,4.12950636616
11,1408,4.18801782936
11,2762,4.01006430306
11,5669,4.08510784793
11,26614,3.74853551032
12,253,2.83318503395
12,673,2.98897229336
12,736,2.84262300204
12,737,2.67577307695
12,1032,2.67212742123
12,2460,3.24973813141
12,2668,2.65712196957
12,3146,3.0522808566
12,3176,2.45274272246
12,3324,2.84245645076
12,3770,2.84245645076
12,3773,3.0
12,3780,2.84245645076
13,47,3.84748579537
13,296,3.74298485456
13,527,4.00295499209
13,587,3.99575988702
13,919,3.98046771604
13,1265,3.90269825463
13,2571,3.80208387406
13,4886,3.94282326354
13,4993,3.8951138871
13,58559,3.83130748459
13,64614,3.61490971653
14,2394,2.88748000761
14,2724,2.96752263045
14,3114,2.93069439166
14,3157,3.00929620297
15,371,2.83905564698
15,372,2.77279903088
15,429,2.9699920511
15,520,2.61613939227
